pds3_path,pds4_path,pds3_product_id,pds4_product_id
cl_3003/bi00_35n/bi17n057.img,/data/basemap/17n/000/,bi17n057,basemap_17n_057e
cl_3004/bi00_35n/bi17n063.img,/data/basemap/17n/000/,bi17n063,basemap_17n_063e
cl_3004/bi00_35n/bi17n069.img,/data/basemap/17n/000/,bi17n069,basemap_17n_069e
cl_3004/bi00_35n/bi17n075.img,/data/basemap/17n/000/,bi17n075,basemap_17n_075e
cl_3004/bi00_35n/bi17n081.img,/data/basemap/17n/000/,bi17n081,basemap_17n_081e
cl_3004/bi00_35n/bi17n087.img,/data/basemap/17n/000/,bi17n087,basemap_17n_087e
cl_3005/bi00_35n/bi17n093.img,/data/basemap/17n/000/,bi17n093,basemap_17n_093e
cl_3005/bi00_35n/bi17n099.img,/data/basemap/17n/000/,bi17n099,basemap_17n_099e
cl_3005/bi00_35n/bi17n105.img,/data/basemap/17n/100/,bi17n105,basemap_17n_105e
cl_3005/bi00_35n/bi17n111.img,/data/basemap/17n/100/,bi17n111,basemap_17n_111e
cl_3005/bi00_35n/bi17n117.img,/data/basemap/17n/100/,bi17n117,basemap_17n_117e
cl_3006/bi00_35n/bi17n123.img,/data/basemap/17n/100/,bi17n123,basemap_17n_123e
cl_3006/bi00_35n/bi17n129.img,/data/basemap/17n/100/,bi17n129,basemap_17n_129e
cl_3006/bi00_35n/bi17n135.img,/data/basemap/17n/100/,bi17n135,basemap_17n_135e
cl_3006/bi00_35n/bi17n141.img,/data/basemap/17n/100/,bi17n141,basemap_17n_141e
cl_3006/bi00_35n/bi17n147.img,/data/basemap/17n/100/,bi17n147,basemap_17n_147e
cl_3007/bi00_35n/bi17n153.img,/data/basemap/17n/100/,bi17n153,basemap_17n_153e
cl_3007/bi00_35n/bi17n159.img,/data/basemap/17n/100/,bi17n159,basemap_17n_159e
cl_3007/bi00_35n/bi17n165.img,/data/basemap/17n/100/,bi17n165,basemap_17n_165e
cl_3007/bi00_35n/bi17n171.img,/data/basemap/17n/100/,bi17n171,basemap_17n_171e
cl_3007/bi00_35n/bi17n177.img,/data/basemap/17n/100/,bi17n177,basemap_17n_177e
cl_3008/bi00_35n/bi17n183.img,/data/basemap/17n/100/,bi17n183,basemap_17n_183e
cl_3008/bi00_35n/bi17n189.img,/data/basemap/17n/100/,bi17n189,basemap_17n_189e
cl_3008/bi00_35n/bi17n195.img,/data/basemap/17n/100/,bi17n195,basemap_17n_195e
cl_3008/bi00_35n/bi17n201.img,/data/basemap/17n/200/,bi17n201,basemap_17n_201e
cl_3008/bi00_35n/bi17n207.img,/data/basemap/17n/200/,bi17n207,basemap_17n_207e
cl_3009/bi00_35n/bi17n213.img,/data/basemap/17n/200/,bi17n213,basemap_17n_213e
cl_3009/bi00_35n/bi17n219.img,/data/basemap/17n/200/,bi17n219,basemap_17n_219e
